chrom	start	end	Paste_locus	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	pos_start	pos_end	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	Direction	trans_reg_diff	perc_cis
chr2L	5291982	5292734	chr2L_5291982_5292734	116.396267176931	135.871396039293	81.1862622368648	6.01523659429335	24.914234634712	6.40593103801706	70.8466170740347	90.6338490480996	96.6649728910355	25.1725250280161	28.3300616681471	10.470038082384	5291982	5292734	2.18973694670161	4.89413579347453e-13	1.39511202765532	3.4204301100481e-12	2.65816659123121	3.42080303310766e-12	9.91916154429148e-11	7.7745835899904e-10	8.04098577997055e-11	P1	P1	1.56957785704261	Cis_+_Trans,opposing	Opposing	0.79462491904629	63.7113982917798
chr2L	5478429	5479392	chr2L_5478429_5479392	21.4002105571936	24.7038901889623	20.9512934804813	18.04570978288	12.8346057209123	14.9471724220398	7.00680828204739	15.5139020893144	19.6751714733966	15.8493676102324	10.052602527407	7.61457315082471	5478429	5479392	0.380497249173407	0.0451289966592777	0.230056670549205	0.321602650624579	0.646619250442837	0.030530239473306	0.875495248686808	1	0.0712978497207897	P1	Ambig	1.65392834845893	Conserved	NA	0.150440578624202	60.4621113684739
chr2L	9757958	9759204	chr2L_9757958_9759204	189.992113239475	185.279176417217	126.2315432199	12.0304731885867	11.3246521066873	19.2177931140512	104.32358997715	164.120753681694	185.630965640307	34.4956824457998	22.8468239259251	26.6510060278865	9757958	9759204	2.46653676773456	5.47958079040224e-13	1.68754791127183	3.75174261113625e-12	3.31550261630278	2.65765190254102e-12	1.1074945085109e-10	8.34565910339632e-10	6.30513514835041e-11	P1	P1	1.46160992008555	Cis_+_Trans,opposing	Opposing	0.77898885646273	68.4177075058075
chr2L	12640034	12640680	chr2L_12640034_12640680	37.5808575638522	25.8267942884606	24.0939875025534	18.04570978288	26.424188248937	12.8118620760341	31.9199043959937	44.9086639427521	29.9404783290818	20.5109463191242	13.7080943555551	8.56639479467779	12640034	12640680	0.423551210611917	0.0115164068231923	0.914506523817802	5.85773432897609e-08	0.657701977015806	0.00506855484410773	0.275588456633876	4.97551403766534e-06	0.0154865772609241	Ambig	P1	0.463147281709607	Compensatory	Opposing	-0.490955313205885	65.0680438078938
chr2L	14642208	14642586	chr2L_14642208_14642586	77.2495405479185	90.9552320593612	43.4739339719986	6.01523659429335	10.5696752995748	6.40593103801706	51.3832607350142	83.2851585847402	56.4591877062685	17.7139990937891	9.13872957037005	8.56639479467779	14642208	14642586	2.22024360983234	1.25755490674482e-13	1.68584248909335	7.53492911290133e-13	2.86725865710592	1.20603701033474e-12	2.71463662821939e-11	1.94264830833228e-10	2.96213513147279e-11	P1	P1	1.31699350573753	Cis_+_Trans,opposing	Opposing	0.53440112073899	75.930518688472
chr2R	10023593	10024780	chr2R_10023593_10024780	16.1806470066586	17.9664655919726	16.761034784385	9.02285489144002	20.3843737920371	14.9471724220398	21.798959099703	22.8625925526738	16.2534025215015	21.4432620609026	25.5884427970361	24.7473627401803	10023593	10024780	0.13755289954893	0.506017679035857	-0.163894297330753	0.345594973890614	0.062835188254831	0.81827429026112	1	1	0.882165994129286	Ambig	Ambig	0.839278131022071	Conserved	NA	0.301447196879683	35.2202198535592
chr2R	10032883	10033934	chr2R_10032883_10033934	45.9321592447083	60.6368213729075	57.0922747343114	57.1447476457868	44.5436316196366	23.4884138060626	49.8261922278925	47.3582274305385	53.0374187543734	34.4956824457998	62.1433610785163	50.4465471242137	10032883	10033934	0.267930837374892	0.0234880023471914	0.0209875235426804	0.858927288037317	0.297808722503751	0.0728850157313205	0.506897576488137	1	0.145674980581406	Ambig	Ambig	12.7661959177807	Conserved	NA	0.246943313832212	7.83318700762854
chr2R	10034990	10037353	chr2R_10034990_10037353	13.0489088763376	20.2122737909692	21.9988581545053	15.0380914857334	12.8346057209123	12.8118620760341	13.235082310534	17.9634655771008	16.2534025215015	23.3078935444593	29.2439346251841	15.2291463016494	10034990	10037353	0.306026103961555	0.137348346793171	-0.356412844950879	0.0570154658939837	0.0204013374915811	0.944832471427097	1	1	0.966268681241938	Ambig	Ambig	0.858628156355396	Conserved	NA	0.662438948912434	34.9818145384445
chr2R	10043651	10044787	chr2R_10043651_10044787	35.4930321436382	17.9664655919726	33.52206956877	60.1523659429335	58.8881909547739	57.6533793421536	47.4905894672101	43.2756216175611	32.5068050430031	56.8712602484808	74.0237095199974	58.0611202750384	10043651	10044787	-0.708660502270627	1.33816340230908e-08	-0.426994576244439	0.000177056611481152	-0.997581548892753	3.06333580724072e-09	9.87220818904343e-07	0.00832409644450975	2.94164690361975e-08	P2	P2	1.65964754986711	Cis_+_Trans,opposing	Opposing	-0.281665926026188	60.2537568943522
chr2R	10045306	10047571	chr2R_10045306_10047571	57.4151990558853	51.6535885769212	68.0917038115641	60.1523659429335	50.5834460765365	40.5708965741081	59.9471375241832	47.3582274305385	64.1581678480324	68.0590491498213	46.6075208088872	42.831973973389	10045306	10047571	0.157600237421857	0.155009381410358	0.0848145600875423	0.444311179522175	0.034302150475198	0.828796490025761	1	1	0.889754483478202	Ambig	Ambig	1.85817431888096	Conserved	NA	0.0727856773343147	53.8162641598785
